angle_slope,auxiliaries_power_loss,engine_capacity,engine_max_power,f0,f1,f2,has_start_stop,n_wheel_drive,vehicle_mass,AvgV,InitT
0.043957411,0.602046588,1969,133,170.0830208,0.259832616,0.035481787,1,2,1836,19.39122807,23
-0.032406666,0.900318358,1969,133,170.0830208,0.259832616,0.035481787,1,2,1836,19.39122807,23
-0.01146428,1.574572332,2400,158,173.3737157,0.259832616,0.035481787,1,2,1873,19.39122807,23
0.001334761,0.697076121,2400,158,173.3737157,0.259832616,0.035481787,1,2,1873,19.39122807,23
-0.014647331,0.189486784,2400,158,173.3737157,0.259832616,0.035481787,1,2,1873,19.39122807,23
-0.024992085,0.365899044,1984,100,178.8837139,-0.203926517,0.048411574,1,2,1934,19.39122807,23
0.003744691,1.192008522,1984,100,178.8837139,-0.203926517,0.048411574,1,2,1934,19.39122807,23
-0.007120326,0.613434416,1984,100,178.8837139,-0.203926517,0.048411574,1,2,1934,19.39122807,23
-0.008825686,1.377293501,1984,100,178.8837139,-0.203926517,0.048411574,0,2,1934,19.39122807,23.04654199
-0.009094391,0.203286285,1984,100,178.8837139,-0.203926517,0.048411574,1,2,1934,19.39122807,23
-0.008983706,1.10620452,2400,133,184.5267038,-0.203926517,0.048411574,1,4,1998,19.39122807,23
0.027030416,1.492371391,2400,133,184.5267038,-0.203926517,0.048411574,1,4,1998,19.39122807,23
0.01090575,1.344338698,2400,133,184.5267038,-0.203926517,0.048411574,1,4,1998,19.39122807,23
0.001796645,1.064584775,2400,133,184.5267038,-0.203926517,0.048411574,0,4,1998,19.39122807,23.05016232
0.012371766,1.074363913,2400,133,184.5267038,-0.203926517,0.048411574,1,4,1998,19.39122807,23
-0.033892349,1.240433051,1969,133,174.780643,-0.203926517,0.048411574,1,2,1889,19.39122807,23
-0.007786676,1.42036485,1969,133,174.780643,-0.203926517,0.048411574,1,2,1889,19.39122807,23
0.027242237,1.091822615,1969,133,177.3713566,-0.203926517,0.048411574,1,2,1917,19.39122807,23
0.000677751,1.557726317,1969,133,174.780643,-0.203926517,0.048411574,0,2,1889,19.39122807,23.04063732
0.030894385,0.930281422,1969,133,174.780643,-0.203926517,0.048411574,1,2,1889,19.39122807,23
0.045305028,1.159818274,2400,158,185.1420565,-0.203926517,0.048411574,1,4,2005,19.39122807,23
-0.00534265,1.467542949,2400,158,185.1420565,-0.203926517,0.048411574,1,4,2005,19.39122807,23
-0.010179907,0.162640866,2400,158,185.1420565,-0.203926517,0.048411574,1,4,2005,19.39122807,23
-0.00746477,1.426166449,2400,158,185.1420565,-0.203926517,0.048411574,1,4,2005,19.39122807,23
-0.033063624,0.920633542,2400,158,185.1420565,-0.203926517,0.048411574,1,4,2005,19.39122807,23
0.07539134,0.326021355,1969,133,175.7571244,-0.077973655,0.044899959,1,2,1900,19.39122807,23
-0.004083096,1.021917061,1969,133,175.7571244,-0.077973655,0.044899959,1,2,1900,19.39122807,23
-0.007326943,0.864591561,1969,133,175.7571244,-0.077973655,0.044899959,1,2,1900,19.39122807,23
0.022065896,0.042862542,1969,133,175.7571244,-0.077973655,0.044899959,1,2,1900,19.39122807,23
-0.009228523,1.398889038,1969,133,175.7571244,-0.077973655,0.044899959,1,2,1900,19.39122807,23
0.052049316,0.820988335,2400,158,184.0120191,-0.077973655,0.044899959,0,4,1993,19.39122807,23.04599027
-0.033041274,1.336532978,2400,158,184.0120191,-0.077973655,0.044899959,0,4,1993,19.39122807,23.04599027
0.038890499,0.453620864,2400,158,184.0120191,-0.077973655,0.044899959,0,4,1993,19.39122807,23.04599027
-0.011805772,1.30107592,2400,158,185.7798139,-0.077973655,0.044899959,0,4,2013,19.39122807,23.04599027
-0.031421742,0.458467067,2400,158,184.0120191,-0.077973655,0.044899959,0,4,1993,19.39122807,23.04599027
-0.007140366,0.581321089,1598,77,125.595138,0.350260966,0.032960609,1,2,1336,19.39122807,23
0.022811012,0.749660591,1598,77,125.595138,0.350260966,0.032960609,1,2,1336,19.39122807,23
0.035931423,0.037248581,1598,77,125.595138,0.350260966,0.032960609,1,2,1336,19.39122807,23
-0.026638894,1.335960553,1598,77,125.595138,0.350260966,0.032960609,1,2,1336,19.39122807,23
0.01826491,1.534070743,1598,77,125.595138,0.350260966,0.032960609,1,2,1336,19.39122807,23
-0.01469258,0.954315594,1598,77,125.595138,0.350260966,0.032960609,1,2,1336,19.39122807,23
0.00737794,0.424255918,1598,77,125.595138,0.35387124,0.032859953,1,2,1336,19.39122807,23
0.01634267,0.191233136,1598,66,125.1555004,0.350260966,0.032960609,1,2,1331,19.39122807,23
0.007640737,1.334475759,1598,66,125.1555004,0.350260966,0.032960609,1,2,1331,19.39122807,23
0.041593607,0.121807208,1598,66,125.1555004,0.350260966,0.032960609,1,2,1331,19.39122807,23
0.020587169,0.524394967,1598,66,125.1555004,0.350260966,0.032960609,1,2,1331,19.39122807,23
-0.032705583,1.559895215,1598,66,125.1555004,0.350260966,0.032960609,1,2,1331,19.39122807,23
0.022055933,1.275661405,1598,66,125.1555004,0.350260966,0.032960609,1,2,1331,19.39122807,23
0.000833389,0.492813925,1598,66,125.1555004,0.350260966,0.032960609,1,2,1331,19.39122807,23
0.000607266,0.434431724,1968,105,130.3679341,0.350260966,0.032960609,1,2,1390,19.39122807,23
-0.039145539,1.456058181,1968,105,130.3679341,0.350260966,0.032960609,1,2,1390,19.39122807,23
-0.055058005,0.270871773,1968,105,130.3679341,0.350260966,0.032960609,1,2,1390,19.39122807,23
-0.043480935,0.106849983,1968,105,130.3679341,0.35387124,0.032859953,1,2,1390,19.39122807,23
-0.034774072,0.411004267,1598,70,139.9952585,0.335830486,0.033362936,1,2,1498,19.39122807,23
-0.026997581,0.363807913,1598,70,139.9952585,0.335830486,0.033362936,1,2,1498,19.39122807,23
-0.010831241,0.194665694,1598,70,139.9952585,0.335830486,0.033362936,1,2,1498,19.39122807,23
0.073057293,0.242945198,1598,70,139.9952585,0.335830486,0.033362936,1,2,1498,19.39122807,23
0.017485182,0.952907665,1995,85,140.5284124,0.335830486,0.033362936,1,2,1504,19.39122807,23
0.000276434,0.702171551,1995,85,140.5284124,0.335830486,0.033362936,1,2,1504,19.39122807,23
-0.003224747,0.473186831,1598,85,140.5284124,0.341826377,0.033195769,1,2,1504,19.39122807,23
-0.000441976,0.376770308,1598,85,140.5284124,0.341826377,0.033195769,1,2,1504,19.39122807,23
-0.002493132,1.33756549,1598,85,140.5284124,0.341826377,0.033195769,1,2,1504,19.39122807,23
-0.018418218,0.408454847,1598,85,140.5284124,0.341826377,0.033195769,1,2,1504,19.39122807,23
0.008922456,0.721366786,1995,85,140.5284124,0.335830486,0.033362936,1,2,1504,19.39122807,23
0.069728995,0.480209737,1995,85,140.5284124,0.335830486,0.033362936,1,2,1504,19.39122807,23
0.025979399,0.411764058,1995,105,141.5946732,0.335830486,0.033362936,1,2,1516,19.39122807,23
-0.007816376,0.155084895,1995,105,141.5946732,0.335830486,0.033362936,1,2,1516,19.39122807,23
0.0267988,0.752779227,1995,105,141.5946732,0.335830486,0.033362936,1,2,1516,19.39122807,23
0.026182762,1.577782975,1995,105,141.5946732,0.335830486,0.033362936,1,2,1516,19.39122807,23
0.01523405,1.330667459,1995,105,150.9091233,0.335830486,0.033362936,1,4,1621,19.39122807,23
0.001126714,0.395135654,1995,105,150.9091233,0.335830486,0.033362936,1,4,1621,19.39122807,23
0.028112238,0.593644652,1995,105,150.9091233,0.335830486,0.033362936,1,4,1621,19.39122807,23
0.021254818,1.104778256,1995,135,143.6336829,0.335830486,0.033362936,1,2,1539,19.39122807,23
0.016688536,0.474372179,1995,135,143.6336829,0.335830486,0.033362936,1,2,1539,19.39122807,23
-0.027270108,0.360276243,1995,135,143.6336829,0.335830486,0.033362936,1,2,1539,19.39122807,23
-0.010917304,0.187533311,1995,135,143.6336829,0.335830486,0.033362936,1,2,1539,19.39122807,23
0.01631876,1.595647249,1995,135,151.9749207,0.335830486,0.033362936,1,4,1633,19.39122807,23
-0.008838923,1.419204003,1995,135,151.9749207,0.335830486,0.033362936,1,4,1633,19.39122807,23
0.029426152,1.083255033,1995,135,151.9749207,0.335830486,0.033362936,1,4,1633,19.39122807,23
-0.030717395,0.677090488,1995,135,151.9749207,0.335830486,0.033362936,1,4,1633,19.39122807,23
-0.000746319,1.473358672,1995,160,148.8705322,0.335830486,0.033362936,1,2,1598,19.39122807,23
0.032040942,0.724946107,1995,160,148.8705322,0.335830486,0.033362936,1,2,1598,19.39122807,23
-0.053554709,0.943179897,1995,160,148.8705322,0.335830486,0.033362936,1,2,1598,19.39122807,23
-0.015189603,0.10892241,1995,85,150.9264885,0.411814357,0.031244476,1,2,1621,19.39122807,23
-0.010808004,0.723728856,1995,85,150.9264885,0.411814357,0.031244476,1,2,1621,19.39122807,23
-0.010747638,0.511319249,1995,85,150.9264885,0.411814357,0.031244476,1,2,1621,19.39122807,23
-0.047295447,1.07797493,1995,85,150.9264885,0.411814357,0.031244476,1,2,1621,19.39122807,23
-0.009662477,1.542307571,1995,85,157.6667763,0.37518338,0.032265762,1,2,1697,19.39122807,23
0.020862954,0.063692917,1995,85,157.6667763,0.37518338,0.032265762,1,2,1697,19.39122807,23
-0.02124597,0.762458661,1995,85,157.6667763,0.37518338,0.032265762,1,2,1697,19.39122807,23
-0.01591289,0.782801786,1995,85,157.6667763,0.37518338,0.032265762,1,2,1697,19.39122807,23
0.020132287,0.226879684,1598,77,139.7170958,0.282323947,0.03485472,1,2,1495,19.39122807,23
0.005343855,0.238437318,1598,77,139.7170958,0.282323947,0.03485472,1,2,1495,19.39122807,23
-0.014724251,0.523292138,1956,110,140.7834824,0.282323947,0.03485472,1,2,1507,19.39122807,23
0.043001943,0.49515654,1995,135,161.4884355,0.324424703,0.033680934,1,2,1740,19.39122807,23
-0.009715262,0.341124618,1995,135,161.4884355,0.324424703,0.033680934,1,2,1740,19.39122807,23
-0.041542101,1.361455575,1995,135,161.4884355,0.324424703,0.033680934,1,2,1740,19.39122807,23
0.016962105,0.591439294,1995,135,161.4884355,0.324424703,0.033680934,1,2,1740,19.39122807,23
0.014346812,0.26083135,1995,135,169.4769361,0.312800232,0.034005029,1,4,1830,19.39122807,23
0.038546858,0.192533106,1995,135,169.4769361,0.312800232,0.034005029,1,4,1830,19.39122807,23
-0.03303975,1.341005449,1995,135,169.4769361,0.312800232,0.034005029,1,4,1830,19.39122807,23
0.042834862,0.854791014,1685,85,150.9973432,-0.097099502,0.045433195,1,2,1622,19.39122807,23
0.020164615,0.857551488,1685,85,150.9973432,-0.097099502,0.045433195,1,2,1622,19.39122807,23
-0.037660209,1.199467572,1598,81,153.4367588,0.237707209,0.036098652,1,2,1649,19.39122807,23
0.025488879,1.493710012,1598,100,153.5298072,0.237707209,0.036098652,1,2,1650,19.39122807,23
