angle_slope,auxiliaries_power_loss,engine_capacity,engine_max_power,f0,f1,f2,has_start_stop,n_wheel_drive,vehicle_mass,AvgV,InitT,av_engine_speeds_out_pos_pow,av_missing_powers_pos_pow,av_neg_motive_powers,av_pos_accelerations,av_pos_engine_powers_out,av_pos_motive_powers,av_vel_pos_mov_pow,co2_emission,max_power_required,specific_fuel_consumption,sufficient_power,time_percentage_neg_mov_pow,time_percentage_pos_mov_pow,willans_a,willans_b,willans_efficiency
-0.003776514,1.178786236,1396,66,136.7153894,0.20167241,0.037103316,1,2,1461,118.3382682,95.1192996,2554.779408,0,-10.32883343,0.186125966,25.82431821,23.64168031,118.7361702,144.9637034,44.16828348,236.2197264,1,0.081005587,0.918994413,197.8276855,991.4482787,0.349542388
-0.028770481,1.376067436,1396,66,136.7153894,0.20167241,0.037103316,1,2,1461,19.39122807,81.94164538,868.923306,0,-4.992222157,0.433876812,2.774089375,3.885892543,26.43636364,102.1835648,12.10264557,306.7147384,1,0.473684211,0.289473684,197.356702,303.3689668,0.269203912
-0.045055608,0.407968162,1396,66,136.7153894,0.20167241,0.037103316,1,2,1461,19.39122807,81.20441134,789.1682814,0,-5.511928896,0.433876812,1.727615665,3.769848596,23.93333333,65.39996888,9.680082628,356.2280381,1,0.578947368,0.184210526,196.4124872,276.0998492,0.23178638
-0.003776514,1.178786236,1396,66,136.7153894,0.20167241,0.037103316,1,2,1461,19.39122807,84.00198078,949.9152088,0,-4.496660551,0.433876812,3.733528802,4.715741979,25.71960784,144.2069297,14.54866761,286.429254,1,0.315789474,0.447368421,197.7232248,331.1865147,0.288269463
-0.028770481,1.376067436,1396,66,136.7153894,0.20167241,0.037103316,1,2,1461,8.485643564,80.0172543,516.6059954,0,-3.548459757,0.555839002,1.503128686,3.439832379,15.06388889,146.0879887,15.17556612,325.2409997,1,0.341584158,0.178217822,203.4598522,183.0527362,0.253869615
-0.045055608,0.407968162,1396,66,136.7153894,0.20167241,0.037103316,1,2,1461,8.485643564,79.98563032,435.6451272,0,-4.299334565,0.555839002,0.961895864,3.263594083,13.88965517,99.44190571,12.37027728,364.8148274,1,0.376237624,0.143564356,203.4521251,155.2141161,0.226330733
-0.003776514,1.178786236,1396,66,136.7153894,0.20167241,0.037103316,1,2,1461,8.485643564,80.02430201,597.8484075,0,-2.601154812,0.555839002,1.801422704,3.604138045,15.30961538,186.9501181,17.78908114,319.0499417,1,0.262376238,0.257425743,202.0062403,210.845181,0.25879587
-0.028770481,1.376067436,1396,66,136.7153894,0.20167241,0.037103316,1,2,1461,18.9139219,81.94164538,858.7608125,0,-4.762988986,0.469684829,2.645939209,4.259762282,25.74709677,101.8602361,17.15065124,310.6100598,1,0.483870968,0.263157895,197.2708504,299.8886581,0.265827859
-0.045055608,0.407968162,1396,66,136.7153894,0.20167241,0.037103316,1,2,1461,18.9139219,81.20441134,741.8214687,0,-5.735667414,0.469684829,1.785699438,3.785643675,24.54741379,64.39752702,13.23667885,343.3305975,1,0.55008489,0.196943973,197.7594045,259.9463975,0.240493588
-0.003776514,1.178786236,1396,66,136.7153894,0.20167241,0.037103316,1,2,1461,18.9139219,84.00198078,924.6202895,0,-3.820562738,0.469684829,3.503721189,4.861548527,26.25228216,141.6755284,21.46677183,289.8514864,1,0.337860781,0.409168081,197.8117302,322.4816441,0.28486591
-0.028770481,1.376067436,1396,66,136.7153894,0.20167241,0.037103316,1,2,1461,26.62416974,79.96987708,1173.534177,0,-5.219403249,0.446902655,3.655141373,4.746450398,29.95465116,91.25466747,17.15065124,304.4947692,1,0.595940959,0.317343173,192.5655716,409.1170406,0.271166587
-0.045055608,0.407968162,1396,66,136.7153894,0.20167241,0.037103316,1,2,1461,26.62416974,80.02070043,1094.293622,0,-6.433585818,0.446902655,2.84505792,4.020054809,29.42575758,55.76545658,13.23667885,326.5498475,1,0.669741697,0.243542435,192.5394441,381.2673594,0.252852078
-0.003776514,1.178786236,1396,66,136.7153894,0.20167241,0.037103316,1,2,1461,26.62416974,80.67346208,1203.860505,0,-4.20549097,0.446902655,4.912563224,5.389240404,30.57246377,130.1448047,21.46677183,279.7395853,1,0.404059041,0.509225092,194.2733609,419.8582311,0.295163115
-0.028770481,1.376067436,1396,66,136.7153894,0.20167241,0.037103316,1,2,1461,32.36730769,79.98430655,1286.251977,0,-6.621389451,0.465110038,4.648285361,5.391739098,31.97724138,95.4041081,20.5730897,288.8492851,1,0.538461538,0.398351648,192.1895271,449.302138,0.28585429
-0.045055608,0.407968162,1396,66,136.7153894,0.20167241,0.037103316,1,2,1461,32.36730769,79.96833039,1227.733667,0,-7.796895461,0.465110038,4.15960447,5.092333113,28.17102804,59.24975702,17.24197102,295.4215393,1,0.642857143,0.293956044,192.4432402,428.3489934,0.279494879
-0.003776514,1.178786236,1396,66,136.7153894,0.20167241,0.037103316,1,2,1461,32.36730769,79.96656862,1297.48369,0,-7.515149812,0.465110038,6.628890032,6.300426042,36.2776824,135.9946336,23.99701677,263.7284965,1,0.296703297,0.64010989,195.3387894,453.3478478,0.313082615
-0.028770481,1.376067436,1396,66,136.7153894,0.20167241,0.037103316,1,2,1461,39.63240741,79.98430655,1236.427486,0,-8.144971158,0.424909138,5.01312743,6.163823367,43.95783133,76.33032623,26.8643418,279.8464273,1,0.506944444,0.384259259,193.7825755,431.4490563,0.295050425
-0.045055608,0.407968162,1396,66,136.7153894,0.20167241,0.037103316,1,2,1461,39.63240741,79.96833039,1153.81834,0,-9.286899052,0.424909138,4.081689407,5.803640883,39.80707965,45.67726283,23.18230466,292.2834791,1,0.62962963,0.261574074,193.7557622,402.159538,0.282495636
-0.003776514,1.178786236,1396,66,136.7153894,0.20167241,0.037103316,1,2,1461,39.63240741,79.96656862,1257.236993,0,-8.531144569,0.424909138,7.281561493,7.791649789,47.10540541,118.6277107,30.81144627,257.7116477,1,0.291666667,0.599537037,197.4378616,438.8872805,0.320392222
-0.028770481,1.376067436,1396,66,136.7153894,0.20167241,0.037103316,1,2,1461,51.81828704,80.76649837,1486.033352,0,-9.378946425,0.378741755,6.498783721,6.636120386,53.41675676,66.22753986,26.8643418,271.9345493,1,0.560185185,0.428240741,191.5216222,522.5862214,0.303634855
-0.045055608,0.407968162,1396,66,136.7153894,0.20167241,0.037103316,1,2,1461,51.81828704,80.58833715,1525.67424,0,-10.41161144,0.378741755,5.472313437,6.2795914,50.48632479,38.48833668,23.18230466,287.6924905,1,0.717592593,0.270833333,189.4713296,537.4969788,0.287003693
-0.003776514,1.178786236,1396,66,136.7153894,0.20167241,0.037103316,1,2,1461,51.81828704,82.58222071,1457.80372,0,-9.293140637,0.378741755,9.134084369,8.91762379,56.08727915,109.4289941,30.81144627,252.0573151,1,0.333333333,0.655092593,195.9982839,512.0479204,0.327579492
-0.030380466,0.384974349,1560,84,151.5081062,0.343121949,0.033159648,1,2,1627,19.39122807,23,999.4914536,0,-5.774277208,0.433876812,2.348274455,4.094893156,26.43636364,134.4356376,11.89181059,360.0553638,1,0.473684211,0.289473684,192.9061364,392.512261,0.229322531
-0.01895348,0.086097266,1560,84,151.5081062,0.343121949,0.033159648,1,2,1627,19.39122807,23,984.9453756,0,-5.683229872,0.433876812,2.592431665,4.310894406,26.15348837,148.1604665,12.72847105,342.9207382,1,0.385964912,0.377192982,193.709959,386.8187487,0.240781026
0.035054673,0.457490092,1560,84,151.5081062,0.343121949,0.033159648,1,2,1627,19.39122807,23,1032.39533,0,-3.944796941,0.433876812,6.1049328,8.110548589,26.4761194,270.1765462,21.86043753,266.0238194,1,0.175438596,0.587719298,199.61283,405.434627,0.310381257
0.013229642,0.625203474,1560,84,151.5081062,0.343121949,0.033159648,1,2,1627,19.39122807,23,1032.076704,0,-4.977587657,0.433876812,4.644076916,6.051000133,26.83064516,223.9175957,18.37445745,283.9161909,1,0.219298246,0.543859649,196.6417553,405.3091917,0.290821059
0.04634907,0.811286808,1969,133,157.51781,0.343121949,0.033159648,1,2,1695,19.39122807,23,1069.88721,0,-3.529927767,0.433876812,7.429261491,9.396351561,25.61142857,350.2041483,25.11734972,274.6749736,1,0.149122807,0.614035088,201.739844,541.8541497,0.300605498
-0.029706029,0.87391228,1969,133,157.51781,0.343121949,0.033159648,1,2,1695,19.39122807,23,1005.123313,0,-5.953410996,0.433876812,2.921521675,4.331388135,26.43636364,174.3266897,13.19804155,370.7483353,1,0.473684211,0.289473684,196.382416,509.4138127,0.222708505
-0.040226082,1.13927123,1969,133,157.51781,0.343121949,0.033159648,1,2,1695,19.39122807,23,998.5373327,0,-6.727020687,0.433876812,2.523751617,3.594294907,26.47931034,157.8112142,12.37849306,396.4644927,1,0.50877193,0.254385965,195.9159847,506.1346212,0.208262805
0.077785146,0.725438715,1969,133,157.51781,0.343121949,0.033159648,1,2,1695,19.39122807,23,1083.30853,0,-2.888160527,0.433876812,9.571494797,11.72638377,25.615,432.1978706,30.86672892,262.1526068,1,0.061403509,0.701754386,204.8340035,548.6247132,0.314964663
-0.002838296,1.567527581,2400,158,159.6532409,0.343121949,0.033159648,1,2,1719,19.39122807,23,1016.979417,0,-5.241358231,0.433876812,4.616751283,5.595524416,25.71960784,275.7954899,17.25635337,337.517533,1,0.315789474,0.447368421,199.9119196,635.2908921,0.244635609
-0.044781814,0.794959299,2400,158,159.6532409,0.343121949,0.033159648,1,2,1719,19.39122807,23,926.5758269,0,-6.519546237,0.433876812,2.3038637,4.414398734,23.93333333,165.8249489,11.74581155,451.4922295,1,0.578947368,0.184210526,199.4228805,580.7334229,0.182879797
-0.010549266,1.02857277,2400,158,159.6532409,0.343121949,0.033159648,1,2,1719,19.39122807,23,1025.228681,0,-5.443847719,0.433876812,3.786970442,5.21804311,25.94347826,248.2105616,15.59828646,367.6076087,1,0.359649123,0.403508772,198.5266059,640.3047596,0.224611258
-0.035028371,1.219988569,2400,158,159.6532409,0.343121949,0.033159648,1,2,1719,19.39122807,23,981.3026667,0,-6.222021867,0.433876812,2.868789905,4.284289604,26.47931034,195.3741439,13.19249522,412.4943171,1,0.50877193,0.254385965,198.5783586,613.6799424,0.200169563
0.021749702,0.59787609,1560,84,157.104983,0.339560083,0.033258954,1,2,1690,19.39122807,23,1064.17848,0,-5.224589314,0.433876812,5.367364772,6.903059691,26.35909091,248.1734322,20.41553856,275.0768934,1,0.184210526,0.578947368,197.2028916,417.9781739,0.300166278
-0.018004426,0.384935179,1560,84,157.104983,0.339560083,0.033258954,1,2,1690,19.39122807,23,1004.750201,0,-5.945376158,0.433876812,2.977784385,4.474084443,25.83863636,159.7919166,13.592135,326.5258296,1,0.377192982,0.385964912,194.0201248,394.5734187,0.252870676
-0.009129751,0.795077765,1560,84,141.4738554,0.276009577,0.035030767,1,2,1514,19.39122807,23,1033.503578,0,-4.847198877,0.433876812,3.331782662,4.596318206,25.93541667,179.9159349,13.70983661,315.8597348,1,0.342105263,0.421052632,194.0417754,405.870965,0.261409728
-0.00891773,0.887018904,1560,84,141.4738554,0.276009577,0.035030767,1,2,1514,19.39122807,23,1037.22962,0,-4.825538318,0.433876812,3.390056359,4.619005633,25.93541667,182.2979298,13.82865144,314.2237225,1,0.342105263,0.421052632,194.0668655,407.338517,0.262770763
-0.060441039,1.330728767,1560,84,141.4738554,0.276009577,0.035030767,1,2,1514,19.39122807,23,953.6303551,0,-6.989671172,0.433876812,1.878202414,3.12186112,24.12352941,106.5064406,9.498039332,392.4077673,1,0.614035088,0.149122807,192.9624629,374.5986521,0.210415833
0.032229903,0.47491686,1560,84,141.8254476,0.276009577,0.035030767,1,2,1518,19.39122807,23,1034.659749,0,-3.91756337,0.433876812,5.548175667,7.284167635,26.4761194,253.5417121,19.94620476,271.6313961,1,0.175438596,0.587719298,198.395386,406.3262492,0.303973725
0.003825924,0.954177459,1560,84,141.4738554,0.276009577,0.035030767,1,2,1514,19.39122807,23,1033.821665,0,-4.411615641,0.433876812,4.194374168,5.289342075,26.17818182,207.2325964,15.65540554,292.5017624,1,0.280701754,0.48245614,195.706341,405.9962151,0.28228482
-0.005499813,1.393140409,1969,140,150.3370049,0.276009577,0.035030767,1,2,1614,19.39122807,23,1061.035184,0,-4.925653798,0.433876812,4.110062211,5.183546322,25.65102041,238.5315194,15.67671566,328.5200894,1,0.333333333,0.429824561,197.3739552,539.0187701,0.251335641
0.006930465,0.262702525,1560,84,156.849576,0.303946808,0.034251866,1,2,1687,19.39122807,23,1065.905829,0,-4.922239005,0.433876812,4.091040905,6.007200678,26.09122807,209.8754412,17.49122167,297.0531985,1,0.263157895,0.5,194.7169655,418.661715,0.277959664
-0.009840359,0.016129948,1560,84,156.849576,0.303946808,0.034251866,1,2,1687,19.39122807,23,991.8557296,0,-5.386912145,0.433876812,3.170438613,5.101905052,25.64680851,167.2650685,14.35163648,317.5688818,1,0.350877193,0.412280702,194.7082363,389.5221344,0.260002828
